Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
LUV,0.008694754,0.114483048,-0.01387,-0.21239,0.38962,-0.21239,1.586285992,0.849007242
LVS,0.01627,0.117284179,0.00823,-0.19624,0.30173,-0.19624,0.039869501,0.435166196
LW,0.002127213,0.092070277,0.00806,-0.28616,0.22072,-0.28616,1.127154098,-0.449683016
LYB,0.000817869,0.084765659,-0.0055,-0.23449,0.24324,-0.23449,1.535470992,0.41043055
LYV,0.028395902,0.115228353,0.01539,-0.1594,0.34529,-0.1594,0.233544602,0.600488434
MA,0.014180328,0.068702,0.01173,-0.12341,0.16585,-0.12341,-0.467694198,0.071825814
MAA,0.005186557,0.064826744,-0.00378,-0.11416,0.16169,-0.11416,-0.54638195,0.27190303
MANU,0.008398852,0.143516464,-0.01265,-0.27893,0.69219,-0.27893,7.776348633,1.92050796
MAR,0.028417213,0.100313672,0.01987,-0.20731,0.36596,-0.20731,1.947484085,0.74403598
MAS,0.005085574,0.089723782,0.00463,-0.19469,0.1875,-0.19469,-0.58987992,0.197854177
MCD,0.007010164,0.048577929,-0.00411,-0.08538,0.18168,-0.08538,1.412319769,0.858775525
MCHP,0.007439836,0.111246518,-0.02459,-0.20055,0.28264,-0.20055,0.092789335,0.652305896
MCK,0.03321,0.072832784,0.03279,-0.11881,0.25552,-0.11881,1.086940802,0.604129896
MCO,0.009895246,0.07413255,0.00802,-0.14554,0.18494,-0.14554,-0.532485216,0.246533243
MDLZ,0.002790164,0.057398975,-0.00801,-0.11364,0.17003,-0.11364,0.317107984,0.675075337
MDT,0.002443115,0.065078381,-0.00446,-0.10979,0.13696,-0.10979,-0.668175777,0.328344001
MET,0.017560492,0.08456785,0.01689,-0.20652,0.26251,-0.20652,1.57200684,0.364800484
META,0.022113607,0.136570905,0.01897,-0.32634,0.4227,-0.32634,1.181996962,-0.077645816
MGM,0.020617049,0.123419822,0.01244,-0.17215,0.37336,-0.17215,0.578585584,0.653616856
MHK,0.00912459,0.129234798,0.00878,-0.21328,0.41799,-0.21328,0.824936901,0.784715464
MKC,-0.003431803,0.06206888,-0.00424,-0.15521,0.12691,-0.15521,-0.050941221,-0.070816187
MLM,0.019218525,0.083437613,0.01293,-0.13917,0.20754,-0.13917,-0.460927611,0.179768008
MMC,0.013008689,0.061533324,0.01953,-0.1161,0.12518,-0.1161,-0.772010194,-0.169162268
MMM,0.003848361,0.080415584,0.00498,-0.13694,0.24817,-0.13694,0.371107314,0.392411991
MNST,0.015015082,0.066790965,0.02512,-0.10831,0.2014,-0.10831,-0.265860505,0.195010983
MO,0.01357377,0.073300896,0.00806,-0.22777,0.24537,-0.22777,2.29870481,-0.132359373
MOH,0.0018,0.102805572,0.00437,-0.47006,0.17206,-0.47006,6.207296546,-1.571113452
MOS,0.019014754,0.143624467,0.00368,-0.25414,0.66458,-0.25414,5.716349429,1.42759117
MPC,0.041231639,0.098782593,0.04285,-0.19236,0.31797,-0.19236,0.523168432,0.325027408
MPWR,0.031015246,0.118523426,0.0504,-0.25242,0.24218,-0.25242,-0.572357007,-0.369994036
MRK,0.004642131,0.064593985,-0.00663,-0.14923,0.1751,-0.14923,0.490708677,0.44555502
MRNA,-0.004153607,0.254640322,-0.03437,-0.35078,1.26382,-0.35078,9.803974058,2.460637404
MS,0.022835082,0.090394542,0.03171,-0.15719,0.28411,-0.15719,-0.094103346,0.123928662
MSCI,0.009430164,0.084508688,-0.0054,-0.1689,0.17031,-0.1689,-0.596747211,0.106338544
MSFT,0.015485574,0.066309994,0.01643,-0.10927,0.17629,-0.10927,-0.233224723,0.232111797
MSI,0.01605377,0.068148391,0.01846,-0.14634,0.15948,-0.14634,-0.455807348,-0.113530952
MTB,0.015910984,0.081396649,0.0244,-0.23353,0.14449,-0.23353,0.355371786,-0.644270415
MTCH,-0.019021475,0.124643864,-0.02438,-0.29065,0.30441,-0.29065,0.097904316,0.256012601
MTD,0.006827541,0.08748553,-0.00774,-0.13866,0.17493,-0.13866,-0.93866378,0.224567355
NCLH,0.017241639,0.178389911,-0.00543,-0.33122,0.4868,-0.33122,0.208590721,0.455860927
NDAQ,0.013102459,0.067703948,0.01284,-0.14666,0.18592,-0.14666,-0.149771988,-0.02775154
NDSN,0.004607049,0.068268777,0.0066,-0.19828,0.14103,-0.19828,0.170021475,-0.203265819
NEE,0.000909508,0.06956584,0.00519,-0.16324,0.19486,-0.16324,0.335999297,-0.246800346
NEM,0.004932787,0.103511305,0.00281,-0.24116,0.29884,-0.24116,0.169292188,0.213011649
NFLX,0.019984918,0.123889651,0.01213,-0.49182,0.2861,-0.49182,4.158015945,-1.073302841
NI,0.0123,0.05055439,0.01469,-0.14639,0.12648,-0.14639,0.634085981,-0.264293421
NKE,-0.007682787,0.09217122,-0.00524,-0.21916,0.18353,-0.21916,-0.334812514,-0.112996497
NOC,0.016648525,0.067021986,0.00814,-0.17883,0.20903,-0.17883,1.74467828,0.667569153
NOW,0.009059672,0.086919587,0.00307,-0.21823,0.19955,-0.21823,0.277518619,0.275531413
NRG,0.030873443,0.118499376,0.02583,-0.25041,0.4227,-0.25041,1.241849476,0.629205178
NSC,0.007742623,0.083565386,-0.00248,-0.14918,0.22487,-0.14918,-0.499366906,0.281898979
NTAP,0.013398525,0.097652491,-0.0047,-0.28059,0.2557,-0.28059,1.180043517,0.132925908
NTRS,0.011960328,0.084263778,-0.00163,0.11652,0.2024,-0.13664,-0.497022348,0.416945621
NUE,0.039704754,0.160299492,0.02395,-0.24552,0.64724,-0.24552,2.708983158,1.202982077
NVDA,0.06513541,0.159347309,0.0562,-0.32027,0.46856,-0.32027,0.045272972,0.246953909
NVR,0.011322951,0.074836469,0.01124,-0.16143,0.14482,-0.16143,-0.587978652,-0.030804884
NWS,0.019550656,0.092259142,0.01978,-0.15558,0.3679,-0.15558,2.68259114,0.93068163
NWSA,0.01739623,0.094737672,0.01778,-0.1535,0.34425,-0.1535,2.498575215,0.985338094
NXPI,0.014682787,0.105319858,-0.00969,-0.21991,0.25469,-0.21991,-0.489693655,0.42045334
O,-0.000155574,0.057302831,-0.00259,-0.14763,0.13888,-0.14763,-0.13469279,-0.019961347
ODFL,0.013858689,0.095013634,0.01152,-0.21649,0.23923,-0.21649,-0.004100396,0.220115343
OKE,0.023016393,0.090778342,0.02376,-0.17194,0.27191,-0.17194,0.504616484,0.194783004
OMC,0.014024262,0.084360806,0.00129,-0.17916,0.33475,-0.17916,2.513746117,0.802234962
ON,0.023330164,0.132707241,0.0298,0.06119,0.32737,-0.32609,-0.21862761,-0.105377174
ORCL,0.026198361,0.110909089,0.01934,-0.24314,0.32079,-0.24314,0.329287277,0.297578233
ORLY,0.026081967,0.064430946,0.02545,-0.12401,0.19221,-0.12401,0.395865169,0.020065908
OTIS,0.00905082,0.068755915,0.00911,-0.13462,0.13762,-0.13462,-0.851595355,-0.072181863
OXY,0.04244377,0.157047343,0.00938,-0.20158,0.72618,-0.20158,5.849410534,1.969177137
PANW,0.037017213,0.11004416,0.02937,-0.17869,0.32881,-0.17869,-0.143055819,0.204687638
PAYC,-0.008246721,0.114566084,-0.01484,-0.25844,0.25491,-0.25844,-0.345949529,0.009045409
PAYX,0.007725082,0.065828797,0.0026,-0.13729,0.15888,-0.13729,-0.347893846,0.357224858
PCAR,0.01311377,0.074893068,0.01235,-0.14351,0.23409,-0.14351,0.855995738,0.670064463
PCG,0.008909672,0.089234188,0.01698,-0.22448,0.32845,-0.22448,2.723729353,0.402175781
PEG,0.005975738,0.052590567,0.00224,0.00224,0.15158,-0.12632,0.346623488,0.136768636
PEP,0.000847869,0.04417631,-0.00109,-0.09577,0.11221,-0.09577,-0.237511102,0.24584168
PFE,-0.007430492,0.067099299,-0.0192,-0.13817,0.2284,-0.13817,1.528004288,0.936175981
PFG,0.018742459,0.083041403,0.01759,-0.19697,0.26951,-0.19697,1.440573156,0.486997655
PG,0.002020984,0.048507861,0.00231,-0.08876,0.13142,-0.08876,-0.20608967,0.250561793
PGR,0.02098918,0.073288898,0.01407,-0.16582,0.17784,-0.16582,-0.214853865,0.032170645
PH,0.030070328,0.08848,0.0168,-0.1403,0.28268,-0.1403,0.220042648,0.696842347
PHM,0.020766885,0.100976724,0.00881,-0.20478,0.24951,-0.20478,-0.304881756,0.124782413
PKG,0.011702459,0.073299632,0.00677,-0.17989,0.16034,-0.17989,-0.317027182,-0.102310916
PLD,0.006285246,0.083899214,0.0137,-0.06854,0.15984,-0.21633,0.317346328,-0.406486753
PLTR,0.078877705,0.312398721,0.04215,-0.33798,1.67621,-0.33798,10.96233129,2.622200809
PM,0.017702131,0.073218276,0.01545,-0.13069,0.21912,-0.13069,0.083490748,0.193073364
PNC,0.012567705,0.090675571,0.02065,-0.2317,0.23409,-0.2317,0.283249834,0.174945723
PNR,0.013943607,0.081309409,0.01845,-0.15625,0.23121,-0.15625,-0.03433883,0.141996584
PNW,0.00294082,0.059176973,-0.00073,-0.14386,0.1653,-0.14386,0.406789143,0.258249829
PODD,0.010231148,0.117765298,-0.00524,-0.30728,0.42634,-0.30728,2.073793092,0.624008748
POOL,-0.003302459,0.096186795,-0.01629,-0.15857,0.27546,-0.15857,0.568597057,0.826147042
PPG,-0.00420459,0.076599114,-0.01487,-0.16088,0.18427,-0.16088,-0.018086256,0.482311563
PPL,0.002402295,0.054590105,0.00992,-0.12827,0.11438,-0.12827,-0.374750106,-0.413052152
PRU,0.012024754,0.076639163,0.01149,-0.21155,0.22628,-0.21155,0.853644024,0.113380817
PSA,0.005342623,0.06976317,0.0024,-0.13966,0.1787,-0.13966,-0.045959983,0.321354059
PSKY,-0.000772623,0.148013367,-0.01099,-0.34805,0.37204,-0.34805,0.54067152,0.392275244
PSX,0.027139836,0.099725976,0.019,-0.18669,0.29833,-0.18669,0.74253246,0.483771921
PTC,0.011632459,0.088834606,0.00933,-0.19914,0.28577,-0.19914,1.121912434,0.454907865
PWR,0.04315918,0.10569661,0.05328,-0.17369,0.33883,-0.17369,0.298402602,0.294424721
PYPL,-0.020950164,0.121304777,-0.00098,-0.34902,0.23897,-0.34902,0.27370997,-0.603565294
Q,-0.003313279,0.025877534,0,0,0,-0.20211,61,-7.810249676
QCOM,0.005285902,0.104542931,-0.02145,-0.15159,0.35719,-0.15159,1.017467625,0.887469006
RCL,0.044458361,0.16244853,0.0461,-0.39883,0.43492,-0.39883,0.504708949,0.217855342
REG,0.01486377,0.073248271,0.00239,-0.13048,0.2807,-0.13048,2.209423281,1.000755411
REGN,0.008308689,0.083046613,0.00854,-0.20266,0.18554,-0.20266,-0.015067785,-0.063326302
RF,0.017930656,0.093909839,0.03185,-0.21155,0.21458,-0.21155,-0.354426773,-0.154431598
RJF,0.024399016,0.087130734,0.01865,-0.17551,0.22646,-0.17551,0.138936605,0.197969572
RL,0.043213115,0.112477284,0.01945,-0.12846,0.30688,-0.12846,-0.547615088,0.588978533
RMD,0.005798525,0.085236325,0.01568,-0.28226,0.19757,-0.28226,1.130230047,-0.535079608
ROK,0.013319672,0.093002991,-0.00204,-0.18423,0.28082,-0.18423,0.99095712,0.570244501
ROL,0.009797213,0.067623524,0.0075,-0.12471,0.21338,-0.12471,0.138730171,0.350449125
ROP,0.005214426,0.062582373,0.00886,-0.11121,0.15265,-0.11121,-0.175905352,0.140778909
ROST,0.014018197,0.089212263,0.01826,-0.17396,0.26242,-0.17396,0.284890558,0.19038212
RSG,0.018510164,0.056537839,0.01897,-0.09256,0.12111,-0.09256,-0.945496755,-0.031394117
RTX,0.025084426,0.078006331,0.02012,-0.16353,0.32032,-0.16353,2.528256806,0.775926403
RVTY,-0.005269344,0.091985219,0.00351,-0.25158,0.22958,-0.25158,0.385304561,0.015404306
SBAC,-0.00725,0.077397728,-0.00967,-0.16344,0.18372,-0.16344,-0.439004876,0.077106339
SBUX,0.003890984,0.07908986,0.00068,-0.22671,0.19062,-0.22671,0.871501294,-0.088657754
SCHW,0.020865902,0.099716509,0.00872,-0.32343,0.26465,-0.32343,1.724777964,-0.430749856
SHW,0.00877459,0.085419509,-0.00312,-0.18642,0.17549,-0.18642,-0.475686334,-0.068868933
SJM,-0.002174262,0.057243004,-0.01365,-0.15205,0.15174,-0.15205,0.401138299,0.06923842
SLB,0.024798689,0.124799264,0.01063,0,0.4493,-0.22193,2.40887576,1.134598371
SMCI,0.096702623,0.283662939,0.04441,-0.38048,1.12416,-0.38048,3.14283102,1.428817328
SNA,0.015680164,0.073552654,0.01129,-0.1225,0.28196,-0.1225,1.668974572,0.858749767
SNPS,0.013424098,0.099201509,0.01569,-0.18389,0.23561,-0.18389,-0.361770824,0.06479003
SO,0.006060164,0.04943938,0.01214,-0.11769,0.12242,-0.11769,-0.417067636,-0.07809521
SOLS,-0.00022918,0.001789956,0,0,0,-0.01398,61,-7.810249676
SOLV,0.005347213,0.051031787,0,0,0.20075,-0.13046,4.123943067,0.868518778
SPG,0.025465738,0.095098877,0.01722,-0.17209,0.3146,-0.17209,0.498482332,0.512394292
SPGI,0.006432131,0.069933071,0.00659,-0.13297,0.19043,-0.13297,-0.441460852,0.192968117
SRE,0.004219836,0.063101658,0.00667,-0.13952,0.21685,-0.13952,1.33525818,0.402622759
STE,0.008442787,0.072343791,0.00253,-0.1743,0.14421,-0.1743,-0.755502122,-0.093471546
STLD,0.045997869,0.138282286,0.02882,-0.22523,0.5027,-0.22523,2.288179959,1.055581574
STT,0.013020328,0.090907716,0.00905,-0.23129,0.21691,-0.23129,0.343002511,0.052293354
STX,0.035923934,0.120059211,0.03206,0.08602,0.41016,-0.20505,0.753880497,0.510859452
STZ,-0.003306557,0.068988785,-0.00213,-0.02432,0.24578,-0.1819,2.32784761,0.40101092
SW,0.00596082,0.079615312,-0.00109,-0.16794,0.26788,-0.16794,1.637704164,0.681836538
SWK,-0.012782787,0.10091696,-0.02839,-0.2193,0.32207,-0.2193,1.408506123,0.772893256
SWKS,-0.012578852,0.099890093,-0.00542,-0.27186,0.20345,-0.27186,0.030737749,-0.191105875
SYF,0.02498623,0.110902173,0.01994,-0.25432,0.26144,-0.25432,0.238155555,-0.264591073
SYK,0.015771475,0.068793208,0.01364,-0.02802,0.15539,-0.15168,-0.519368254,-0.087095483
SYY,0.011423443,0.073660402,0.00309,-0.13999,0.28892,-0.13999,3.096131226,1.082492045
T,0.00521623,0.07192906,0.00361,-0.12543,0.19174,-0.12543,0.137570421,0.431568756
TAP,0.009343607,0.082176965,0.0116,-0.14855,0.30459,-0.14855,1.412472045,0.62354994
TDG,0.025611311,0.070721875,0.02689,-0.1303,0.21319,-0.1303,0.419972227,0.044804861
TDY,0.012044918,0.074655987,0.02103,0.02593,0.22251,-0.11143,-0.201425769,0.411097806
TECH,0.005584098,0.110486016,0.0183,-0.27241,0.22671,-0.27241,-0.372349824,-0.131831042
TEL,0.018264262,0.075596809,0.02145,-0.12558,0.21984,-0.12558,0.129960671,0.233492907
TER,0.020727541,0.131595749,0.03568,-0.28664,0.32055,-0.28664,-0.227604868,-0.169999514
TFC,0.005652623,0.088297354,0.00379,-0.30958,0.21551,-0.30958,1.84810413,-0.34508456
TGT,-0.005912459,0.099865081,-0.01861,-0.29202,0.27416,-0.29202,1.190160102,0.082255234
TJX,0.019014426,0.068484985,0.01946,-0.15826,0.2502,-0.15826,1.507334432,0.313072496
TKO,0.03100082,0.097533172,0.02586,-0.19201,0.2503,-0.19201,-0.328813342,0.099058012
TMO,0.001457541,0.07729115,0.00569,-0.16754,0.16983,-0.16754,-0.411104908,-0.044411434
TMUS,0.016266557,0.071401521,0.00697,-0.12252,0.21329,-0.12252,0.26672137,0.544586381
TPL,0.050806066,0.182558731,0.01043,-0.30881,0.90982,-0.30881,7.011074125,1.890558163
TPR,0.044425738,0.124059983,0.02195,-0.22781,0.3327,-0.22781,-0.182979907,0.350651425
TRGP,0.051504098,0.11050147,0.03753,-0.17148,0.46417,-0.17148,2.508476407,0.893636491
TRMB,0.014922459,0.104728582,-0.00682,-0.17238,0.26543,-0.17238,-0.396256203,0.429309774
TROW,-0.001969836,0.087017737,0.00854,-0.21466,0.17662,-0.21466,-0.128586364,-0.465122343
TRV,0.019019508,0.061125816,0.02832,-0.10313,0.20405,-0.10313,0.087974645,0.021583659
TSCO,0.017328689,0.072579836,0.01821,-0.13678,0.24933,-0.13678,0.967561817,0.476209726
TSLA,0.030418525,0.18994861,0.02162,-0.36733,0.46274,-0.36733,-0.237670827,0.278500196
TSN,0.00226623,0.073592505,-0.00192,-0.18963,0.15534,-0.18963,-0.122489581,-0.075310998
TT,0.023145902,0.082979488,0.02918,-0.1432,0.19103,-0.1432,-0.60865426,-0.063657191
TTD,0.014721475,0.196153752,-0.00417,-0.53893,0.59073,-0.53893,1.282420901,0.154659258
TTWO,0.008904918,0.087923094,-0.0082,-0.22265,0.1828,-0.22265,-0.420509057,0.106254694
TXN,0.005230164,0.074696363,0.00152,-0.13074,0.16427,-0.13074,-0.641609991,0.172752808
TXT,-0.00781459,0.091240935,-0.01481,-0.22008,0.17757,-0.22008,-0.401781836,0.143380251
TYL,0.006323934,0.070991979,0.00412,-0.11925,0.20007,-0.11925,0.032997463,0.497323969
UAL,0.032950492,0.1511951,0.00279,-0.3476,0.43886,-0.3476,0.704739571,0.564113482
UBER,0.02945623,0.131109337,0.0161,-0.26302,0.48638,-0.26302,1.364752554,0.674444205
UDR,0.006157049,0.069664825,0.00052,-0.10821,0.23143,-0.10821,0.571020666,0.685418429
UHS,0.017482295,0.106230009,0.01698,0.09206,0.31402,-0.1918,-0.430409397,0.180543535
ULTA,0.022201967,0.096789938,0.01784,-0.25679,0.33191,-0.25679,1.68732009,-0.023143246
UNH,0.001193115,0.08762512,-0.00935,-0.26621,0.24167,-0.26621,1.769485895,-0.384703788
UNP,0.00789,0.068840288,-0.00444,-0.14245,0.23157,-0.14245,1.010664789,0.585303367
UPS,-0.003091475,0.079276439,-0.00195,-0.07987,0.19925,-0.1695,-0.060440474,0.162235701
URI,0.035825246,0.12723793,0.02172,-0.18656,0.35513,-0.18656,0.043117762,0.56842034
USB,0.009111803,0.096239379,-0.00105,-0.2761,0.29078,-0.2761,1.012380656,0.193145185
V,0.013191311,0.062191685,0.0143,-0.11649,0.16611,-0.11649,-0.266149374,0.27111809
VICI,0.008124754,0.060637101,-0.00353,-0.10426,0.1477,-0.10426,-0.511258386,0.381219034
VLO,0.035327213,0.114971945,0.03164,-0.17994,0.39264,-0.17994,1.405151942,0.747977156
VLTO,0.005184262,0.049781058,0,0,0.15608,-0.18401,4.531312618,-0.01195328
VMC,0.016328361,0.080970954,0.00799,-0.14901,0.20756,-0.14901,-0.477918347,0.208552584
VRSK,0.002112295,0.068656052,0.01094,-0.14276,0.15975,-0.14276,-0.346035091,-0.212498868
VRSN,0.006571639,0.072571731,0.00685,-0.19675,0.18079,-0.19675,0.474753464,-0.211043897
VRTX,0.010483279,0.07069978,0.00481,-0.14413,0.17471,-0.14413,0.073897903,0.078859525
VST,0.04677459,0.154270318,0.05246,-0.30108,0.69754,-0.30108,4.562895963,1.300960646
VTR,0.017595082,0.089045073,0.02121,-0.16329,0.21383,-0.16329,-0.543958864,0.096702744
VTRS,-0.009757705,0.110846026,-0.01476,-0.27321,0.20709,-0.27321,-0.079321052,-0.199597449
VZ,-0.00387541,0.058922913,-0.00921,-0.09811,0.15156,-0.09811,-0.207279968,0.385132357
WAB,0.022320984,0.072290073,0.03123,-0.13106,0.23609,-0.13106,0.473835324,0.250588981
WAT,0.012741639,0.095275847,0.01662,-0.17974,0.19068,-0.17974,-0.690070173,-0.124297935
WBD,0.02064623,0.179472663,0.00536,-0.27263,0.67784,-0.27263,2.854685655,1.336799788
WDAY,0.005355902,0.09019902,0.01106,-0.24383,0.27873,-0.24383,0.821007899,0.180389874
WDC,0.037861803,0.147671849,0.04117,-0.26133,0.4944,-0.26133,0.626818365,0.414277588
WEC,4.85E-05,0.051791146,0.00245,-0.13293,0.11665,-0.13293,-0.159418359,0.043291809
WELL,0.028360656,0.072267062,0.01969,-0.16086,0.18201,-0.16086,-0.171941121,-0.078181768
WFC,0.031595738,0.097455586,0.01554,-0.20247,0.30756,-0.20247,0.619282907,0.353001374
WM,0.014440656,0.057813134,0.01303,-0.11581,0.159,-0.11581,-0.120512545,0.110272247
WMB,0.02343082,0.070765024,0.02634,-0.15868,0.14977,-0.15868,-0.094840647,-0.313633019
WMT,0.014244754,0.057388136,0.01486,-0.15923,0.12874,-0.15923,0.409711224,-0.24155521
WRB,0.024227213,0.075229091,0.02554,0.04185,0.21258,-0.12969,0.068858349,0.425922359
WSM,0.031782459,0.151769135,-0.0051,-0.25202,0.64192,-0.25202,3.415522421,1.39574029
WST,0.001136721,0.111546349,0.01258,-0.34452,0.30448,-0.34452,1.982116048,-0.630725872
WTW,0.012536885,0.066659767,0.01652,0.00966,0.14089,-0.11991,-0.601929565,-0.054841703
WY,-0.000648033,0.083199511,-0.01698,-0.16393,0.16923,-0.16393,-0.768086122,0.072014194
WYNN,0.022782787,0.121175571,0.01252,-0.19599,0.38755,-0.19599,1.076651687,0.983611087
XEL,-0.000364426,0.054728538,0.00158,-0.13805,0.1141,-0.13805,-0.16676598,-0.34062237
XOM,0.028436721,0.086071378,0.02256,-0.13656,0.26916,-0.13656,0.928757252,0.742885761
XYL,0.011373443,0.079050028,0.0113,-0.18815,0.17716,-0.18815,-0.170004911,-0.124833426
XYZ,-0.000294262,0.180442916,0.01589,-0.40178,0.5759,-0.40178,0.748791471,0.377950725
YUM,0.014029344,0.068945086,0.00377,-0.09859,0.20582,-0.09859,0.338396534,0.731172541
ZBH,-0.002879344,0.06955819,-0.00447,-0.16434,0.15767,-0.16434,-0.263740439,0.084528672
ZBRA,0.004482131,0.131523057,0.00576,-0.27907,0.33416,-0.27907,-0.166974594,0.420854299
ZTS,-0.001444918,0.071480758,0.00912,-0.18129,0.12924,-0.18129,-0.413749148,-0.209426333


